customer_id,application_date,age,region,segment,employment_years,annual_income,existing_loans,credit_utilization,debt_to_income,late_payments_12m,payment_history_score,loan_amount,loan_term_months,interest_rate,default_flag,predicted_prob
CUST200000,2026-07-12,22,South,Student,1,33996,2,0.763,0.44,4,626,14900,60,15.37,1,0.999
CUST200001,2025-05-30,34,Central,Premium,6,55000,7,0.155,0.05,0,679,2500,12,13.49,0,0.517
CUST200002,2024-11-20,22,Central,Student,2,70000,2,0.146,0.07,1,760,5000,24,6.03,0,0.523
CUST200003,2025-05-23,25,East,Premium,1,66000,2,0.15,0.08,0,724,5050,36,11.49,0,0.463
CUST200004,2025-01-03,23,Central,Retail,7,36000,4,0.173,0.11,0,712,4000,12,10.99,1,0.525
CUST200005,2024-12-01,23,North,Retail,1,18000,2,0.319,0.14,0,617,2500,12,15.95,1,0.831
CUST200006,2026-04-13,23,Central,Retail,1,59004,3,0.276,0.13,3,623,7800,36,15.99,1,0.967
CUST200007,2025-07-05,22,Central,Student,6,48000,2,0.439,0.21,1,756,9925,24,9.63,0,0.829
CUST200008,2025-09-04,22,South,Retail,1,43000,3,0.339,0.22,1,752,9575,24,6.62,0,0.792
CUST200009,2025-05-12,22,West,Student,6,62000,2,0.466,0.24,0,746,15075,48,6.03,0,0.688
CUST200010,2025-03-02,23,East,Small Business,1,38400,4,0.615,0.35,0,713,13250,60,10.99,1,0.899
CUST200011,2026-01-03,23,North,Student,5,32004,4,0.585,0.29,0,572,9250,36,17.19,0,0.947
CUST200012,2026-05-11,24,South,Retail,5,28800,2,0.509,0.28,1,747,8000,12,11.5,0,0.905
CUST200013,2024-09-02,24,East,Retail,8,135000,3,0.258,0.1,1,773,13050,36,11.5,0,0.527
CUST200014,2025-05-09,24,North,Small Business,2,44208,3,0.25,0.16,0,772,7000,36,7.51,0,0.516
CUST200015,2026-06-29,26,East,Retail,1,41000,2,0.373,0.16,0,756,6600,24,8,0,0.644
CUST200016,2024-11-09,26,East,Retail,8,48996,2,0.136,0.05,0,614,2500,24,14.59,1,0.596
CUST200017,2025-05-11,22,East,Small Business,5,24960,2,0.175,0.1,0,748,2500,36,7.51,0,0.466
CUST200018,2025-04-29,23,North,Retail,3,17004,2,0.548,0.29,0,757,5000,24,6.54,1,0.818
CUST200019,2025-10-10,23,West,Student,5,18000,4,0.55,0.28,0,764,5000,12,8.59,1,0.815
CUST200020,2025-06-17,26,Central,Premium,5,31000,3,0.425,0.26,3,677,8000,36,14.27,1,0.98
CUST200021,2025-05-08,26,West,Student,5,27000,4,0.254,0.09,0,672,2500,12,13.61,0,0.674
CUST200022,2025-12-09,24,South,Small Business,3,48000,4,0.413,0.2,0,763,9600,36,11.5,0,0.698
CUST200023,2024-10-14,26,North,Retail,6,100000,3,0.125,0.08,0,749,8000,24,6.54,0,0.286
CUST200024,2026-03-21,23,South,Student,7,60000,3,0.335,0.18,0,771,10750,60,7.88,0,0.544
CUST200025,2025-08-05,24,North,Retail,3,47500,4,0.484,0.29,0,721,13750,36,11.71,0,0.82
CUST200026,2025-10-05,24,East,Retail,5,63000,4,0.429,0.24,0,666,15000,60,13.47,0,0.807
CUST200027,2025-02-01,22,South,Retail,5,17772,4,0.223,0.12,0,751,2150,24,11.5,0,0.566
CUST200028,2025-11-19,22,South,Student,2,44004,3,0.174,0.11,0,772,5000,24,8.9,0,0.441
CUST200029,2025-02-06,23,Central,Retail,5,78000,3,0.361,0.22,0,703,17000,36,10.99,0,0.683
CUST200030,2024-08-24,24,East,Retail,4,65004,2,0.261,0.12,0,764,8000,12,8.49,0,0.474
CUST200031,2026-06-01,22,East,Small Business,6,57000,2,0.334,0.13,0,720,7200,12,11.5,0,0.625
CUST200032,2024-08-23,24,North,Small Business,5,120000,2,0.2,0.05,0,762,5775,24,6.17,0,0.279
CUST200033,2025-04-01,22,East,Retail,6,105000,3,0.25,0.07,1,748,7000,24,7.74,0,0.556
CUST200034,2025-11-17,23,East,Small Business,5,64000,2,0.283,0.13,0,705,8000,36,10,0,0.585
CUST200035,2025-12-19,22,North,Retail,5,33000,3,0.499,0.24,0,700,7800,24,10.99,0,0.827
CUST200036,2024-10-01,26,South,Retail,7,62065,3,0.204,0.1,0,706,6000,36,11.12,1,0.508
CUST200037,2025-03-09,23,East,Retail,3,32000,4,0.99,0.63,0,614,20000,36,12.61,1,0.99
CUST200038,2025-12-01,24,Central,Retail,5,26400,4,0.44,0.23,0,763,6000,24,8.9,0,0.728
CUST200039,2025-12-11,23,North,Retail,4,62000,2,0.287,0.16,0,708,10000,12,12.18,0,0.633
