feature,importance
credit_utilization,0.48434466241414587
debt_to_income,0.39711959142417497
payment_history_score,0.299736489862049
annual_income,0.2076825623818286
late_payments_12m,0.17015282876608315
employment_years,0.13072700320434846
segment_Small Business,0.09648506814138419
loan_amount,0.07107263009532871
segment_Student,0.0701956145376921
interest_rate,0.05052302918654175
region_East,0.0356647935802149
existing_loans,0.03397880723247861
loan_term_months,0.0313969802910565
segment_Retail,0.027926859319311013
region_North,0.02474690337647545
region_West,0.020065092821845806
region_South,0.012320221717655571
age,0.009278789038854755
